                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93673,                0.60712,                0.40755,                0.78216,                 0.9706,                0.98049,                0.99208,                0.74163,                0.96147,                0.96984,                 0.9807,                0.64306,                0.92998,                0.56784,                0.40138,                0.72868,             0.00030106,             0.00030106,             0.00030106
                      2,                0.91379,                0.57681,                0.39734,                0.76562,                0.96541,                0.98155,                0.99059,                0.73895,                0.95991,                0.96937,                0.97746,                0.64458,                0.94752,                0.57081,                0.40674,                0.73055,             0.00060206,             0.00060206,             0.00060206
                      3,                 0.9385,                0.58804,                0.40651,                0.77245,                  0.974,                0.98352,                0.99226,                0.73798,                0.96271,                0.97071,                0.97479,                0.63845,                0.96342,                0.58004,                0.41137,                0.72994,             0.00090107,             0.00090107,             0.00090107
                      4,                0.92675,                 0.5836,                0.40188,                0.76957,                0.97037,                 0.9804,                0.99168,                0.73414,                0.96127,                0.97094,                0.97679,                 0.6374,                0.97497,                0.56986,                0.41331,                0.72728,                 0.0009,                 0.0009,                 0.0009
                      5,                0.93773,                0.58339,                0.39978,                0.76739,                0.97521,                0.98834,                0.99241,                0.72797,                0.96524,                0.97795,                0.97835,                0.63293,                0.98293,                0.63581,                0.41122,                0.72981,               0.000897,               0.000897,               0.000897
                      6,                0.96048,                0.59107,                0.40251,                0.77756,                0.97461,                0.97941,                0.99333,                0.73173,                0.96396,                0.97095,                0.98423,                0.64493,                0.98629,                0.56331,                0.40586,                0.73189,               0.000894,               0.000894,               0.000894
                      7,                0.90949,                0.54571,                 0.3956,                0.77251,                0.97622,                0.98032,                0.99112,                0.74855,                0.96389,                  0.967,                0.97663,                0.65281,                0.84734,                0.56686,                0.40559,                 0.7526,               0.000891,               0.000891,               0.000891
                      8,                 0.8588,                0.55473,                0.39549,                0.78969,                0.98442,                0.97424,                0.99236,                0.76132,                0.97022,                0.95972,                0.98191,                0.66381,                0.82138,                 0.5621,                0.39525,                0.75737,               0.000888,               0.000888,               0.000888
                      9,                0.86279,                0.57466,                0.39772,                0.79091,                0.97778,                0.96874,                0.99158,                0.76269,                0.96865,                0.96189,                0.98507,                0.66404,                 0.8132,                0.58503,                0.38461,                0.75588,               0.000885,               0.000885,               0.000885
                     10,                0.84431,                0.55602,                0.39219,                0.78948,                 0.9726,                0.97105,                0.98887,                0.75645,                0.96557,                0.96553,                0.98104,                0.66352,                0.82711,                0.56299,                0.39303,                0.75584,               0.000882,               0.000882,               0.000882
